0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 23849
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:25:49 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 23859
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:35 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 24271
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:26:45 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 24479
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:11 +0700] "GET /engreview/favicon.ico HTTP/1.1" 200 36422
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:25 +0700] "GET /engreview/fibonaci HTTP/1.1" 200 24797
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:25 +0700] "GET /engreview/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:25 +0700] "GET /engreview/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:25 +0700] "GET /engreview/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:25 +0700] "GET /engreview/js/src/Chart.Line.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:10:27:25 +0700] "GET /engreview/css/all.css HTTP/1.1" 304 -
